venue_id,venue_name,current_monday,current_tuesday,current_wednesday,current_thursday,current_friday,current_saturday,current_sunday,last_year_monday,last_year_tuesday,last_year_wednesday,last_year_thursday,last_year_friday,last_year_saturday,last_year_sunday,current_week_total,last_year_week_total,monday_change,tuesday_change,wednesday_change,thursday_change,friday_change,saturday_change,sunday_change,week_change,week_number,year,personnel_expense_ratio,estimated_profit,debit_variation,debit_variation_previous,debit_variation_variation,holiday_name,holiday_flag
3,BURGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2024,0.0,0.0,,,,,False
4,SAN SEBASTIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2024,0.0,0.0,,,,,False
5,VITORIA,0.0,129.0,461.75,317.5,1763.85,2327.55,1103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6102.65,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9,2024,0.0,6102.65,,,,,False
6,ZARAGOZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2024,0.0,0.0,,,,,False
1,PAMPLONA,1060.73,1143.9,869.45,697.3,1957.23,3279.42,1346.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10354.46,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10,2024,0.0,10354.46,,,,,False
2,BILBAO,656.25,280.75,466.1,502.25,1430.72,2745.6,882.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6964.27,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10,2024,0.0,6964.27,,,,,False
3,BURGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2024,0.0,0.0,,,,,False
4,SAN SEBASTIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2024,0.0,0.0,,,,,False
5,VITORIA,0.0,239.25,166.85,423.75,1566.03,2089.05,1423.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5907.98,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10,2024,0.0,5907.98,,,,,False
6,ZARAGOZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2024,0.0,0.0,,,,,False
